SaleID,Date,CustomerID,ProductID,Quantity,UnitPrice,Discount,PaymentMethod,Channel,City,CustomerType,TotalAmount,Uniqueness,BookCategory,BookAgeYears,Condition,Language
S0001,2025-08-03,C0027,P017,2,825000,0,Card,Online,Rasht,"New Customer",1650000,4,Religious-Mystical,66,Acceptable,Persian-Arabic
S0002,2025-08-05,C0013,P003,1,1000000,0,Online,Online,Nowshahr,"New Customer",1000000,5,Philosophy,27,Excellent,"Old Persian"
S0003,2025-08-05,C0104,P031,1,1336000,0,Card,Online,Nowshahr,"New Customer",1336000,6,"Classical Literature",33,Excellent,Persian
S0004,2025-08-06,C0158,P026,1,1375000,206250,Online,Online,Nowshahr,"New Customer",1168750,6,History,38,Excellent,Persian-Arabic
S0009,2025-08-09,C0136,P040,1,1100000,0,Online,Online,Rasht,"New Customer",1100000,5,"Classical Poetry",40,Excellent,Persian
S0010,2025-08-10,C0092,P010,2,233000,0,Online,Online,Rasht,"New Customer",466000,1,History,18,Good,Persian-Arabic
S0011,2025-08-10,C0164,P011,1,532000,0,Online,Online,Nowshahr,"New Customer",532000,3,Manuscript,28,Excellent,Persian-Arabic
S0012,2025-08-12,C0076,P003,1,1044000,208800,Online,Online,Rasht,"New Customer",835200,5,Philosophy,27,Excellent,"Old Persian"
S0015,2025-08-14,C0041,P004,1,1221000,0,Online,Online,Nowshahr,"New Customer",1221000,5,Religious-Mystical,105,Excellent,Persian-Arabic
S0017,2025-08-15,C0054,P019,1,1009000,0,Online,Online,Nowshahr,"New Customer",1009000,5,"Classical Poetry",26,Good,Persian-Arabic
S0024,2025-08-23,C0137,P023,1,792000,0,Card,Online,Nowshahr,"New Customer",792000,3,History,154,Good,"Old Persian"
S0026,2025-08-25,C0033,P028,1,1089000,130680,Online,Online,Nowshahr,"New Customer",958320,5,Philosophy,37,Good,"Old Persian"
S0027,2025-08-26,C0001,P036,1,2265000,0,Card,Online,Rasht,"New Customer",2265000,8,Religious-Mystical,43,Excellent,"Old Persian"
S0028,2025-08-27,C0124,P021,1,1797000,0,Card,Online,Nowshahr,"New Customer",1797000,7,"Classical Literature",49,Excellent,"Old Persian"
S0029,2025-08-27,C0147,P042,3,2516000,1509600,Online,Online,Nowshahr,"New Customer",6038400,8,"Classical Literature",65,Good,Persian-Arabic
S0034,2025-08-31,C0153,P013,1,3068000,0,Online,Online,Rasht,"New Customer",3068000,9,Manuscript,53,Acceptable,"Old Persian"
S0041,2025-09-07,C0059,P029,1,747000,0,Card,Online,Rasht,"Returning Customer",747000,4,Manuscript,33,Acceptable,Persian
S0042,2025-09-07,C0151,P031,2,1333000,0,Card,Online,Rasht,"Returning Customer",2666000,6,"Classical Literature",33,Excellent,Persian
S0043,2025-09-08,C0104,P014,1,1097000,0,Online,Online,Nowshahr,"Returning Customer",1097000,5,Manuscript,53,Acceptable,"Old Persian"
S0045,2025-09-13,C0106,P027,1,1128000,0,Card,Online,Nowshahr,"New Customer",1128000,5,Manuscript,44,Acceptable,"Old Persian"
S0046,2025-09-14,C0018,P026,1,1372000,0,Card,Online,Nowshahr,"New Customer",1372000,6,History,38,Excellent,Persian-Arabic
S0047,2025-09-15,C0055,P002,2,1159000,0,Online,Online,Nowshahr,"New Customer",2318000,5,Manuscript,61,Excellent,Persian
S0048,2025-09-16,C0021,P001,2,2026000,0,Online,Online,Nowshahr,"Returning Customer",4052000,7,Philosophy,87,Excellent,"Old Persian"
S0050,2025-09-17,C0118,P034,1,2086000,0,Card,Online,Nowshahr,"New Customer",2086000,7,Philosophy,102,Good,Persian-Arabic
S0051,2025-09-17,C0135,P015,1,835000,167000,Online,Online,Rasht,"Returning Customer",668000,4,"Classical Literature",57,Good,Persian-Arabic
S0053,2025-09-18,C0110,P027,1,1126000,0,Online,Online,Rasht,"New Customer",1126000,5,Manuscript,44,Acceptable,"Old Persian"
S0056,2025-09-19,C0165,P031,1,1365000,0,Card,Online,Nowshahr,"New Customer",1365000,6,"Classical Literature",33,Excellent,Persian
S0058,2025-09-19,C0095,P013,1,2834000,0,Online,Online,Rasht,"New Customer",2834000,9,Manuscript,53,Acceptable,"Old Persian"
S0059,2025-09-20,C0048,P010,1,233000,0,Card,Online,Rasht,"New Customer",233000,1,History,18,Good,Persian-Arabic
S0062,2025-09-22,C0140,P029,3,735000,330750,Card,Online,Nowshahr,"New Customer",1874250,4,Manuscript,33,Acceptable,Persian
S0064,2025-09-22,C0154,P004,1,1174000,0,Card,Online,Rasht,"New Customer",1174000,5,Religious-Mystical,105,Excellent,Persian-Arabic
S0065,2025-09-22,C0134,P037,1,933000,111960,Online,Online,Rasht,"New Customer",821040,4,"Classical Literature",99,Acceptable,Persian-Arabic
S0072,2025-09-26,C0127,P009,1,1499000,0,Card,Online,Nowshahr,"New Customer",1499000,6,"Classical Literature",52,Good,Persian
S0074,2025-09-27,C0077,P041,1,2096000,0,Card,Online,Nowshahr,"New Customer",2096000,7,Philosophy,122,Good,Persian
S0076,2025-09-30,C0026,P008,2,1828000,914000,Card,Online,Nowshahr,"New Customer",2742000,7,Philosophy,43,Good,Persian
S0077,2025-09-30,C0103,P032,1,1390000,347500,Online,Online,Nowshahr,"New Customer",1042500,5,Religious-Mystical,198,Acceptable,Persian-Arabic
S0080,2025-10-01,C0155,P023,1,765000,38250,Card,Online,Nowshahr,"New Customer",726750,3,History,154,Good,"Old Persian"
S0083,2025-10-02,C0169,P006,1,2198000,0,Online,Online,Nowshahr,"New Customer",2198000,7,History,175,Good,Persian
S0084,2025-10-02,C0073,P040,1,1117000,0,Online,Online,Rasht,"New Customer",1117000,5,"Classical Poetry",40,Excellent,Persian
S0087,2025-10-03,C0054,P018,1,1064000,0,Card,Online,Nowshahr,"Returning Customer",1064000,5,Religious-Mystical,48,Excellent,Persian
S0088,2025-10-05,C0085,P011,2,541000,0,Online,Online,Nowshahr,"New Customer",1082000,3,Manuscript,28,Excellent,Persian-Arabic
S0089,2025-10-06,C0165,P021,1,1764000,0,Online,Online,Nowshahr,"Returning Customer",1764000,7,"Classical Literature",49,Excellent,"Old Persian"
S0090,2025-10-06,C0005,P010,2,253000,0,Online,Online,Nowshahr,"New Customer",506000,1,History,18,Good,Persian-Arabic
S0092,2025-10-08,C0013,P021,3,1859000,1115400,Card,Online,Nowshahr,"Returning Customer",4461600,7,"Classical Literature",49,Excellent,"Old Persian"
S0095,2025-10-09,C0002,P024,1,1469000,0,Online,Online,Nowshahr,"New Customer",1469000,6,Philosophy,89,Good,"Old Persian"
S0097,2025-10-11,C0099,P028,3,1110000,0,Card,Online,Nowshahr,"New Customer",3330000,5,Philosophy,37,Good,"Old Persian"
S0099,2025-10-11,C0147,P036,1,2399000,479800,Online,Online,Nowshahr,"Returning Customer",1919200,8,Religious-Mystical,43,Excellent,"Old Persian"
S0101,2025-10-12,C0181,P032,2,1297000,0,Online,Online,Rasht,"Returning Customer",2594000,5,Religious-Mystical,198,Acceptable,Persian-Arabic
S0102,2025-10-13,C0009,P037,1,925000,0,Online,Online,Nowshahr,"Returning Customer",925000,4,"Classical Literature",99,Acceptable,Persian-Arabic
S0105,2025-10-13,C0037,P031,1,1351000,0,Online,Online,Nowshahr,"New Customer",1351000,6,"Classical Literature",33,Excellent,Persian
S0106,2025-10-13,C0161,P035,2,2546000,0,Online,Online,Rasht,"New Customer",5092000,8,History,99,Excellent,"Old Persian"
S0108,2025-10-15,C0129,P012,1,1461000,146100,Online,Online,Rasht,"New Customer",1314900,6,"Classical Poetry",48,Excellent,Persian
S0111,2025-10-17,C0105,P023,1,783000,0,Online,Online,Nowshahr,"New Customer",783000,3,History,154,Good,"Old Persian"
S0116,2025-10-25,C0162,P040,1,1093000,0,Card,Online,Rasht,"New Customer",1093000,5,"Classical Poetry",40,Excellent,Persian
S0117,2025-10-25,C0102,P003,2,1018000,244320,Online,Online,Nowshahr,"New Customer",1791680,5,Philosophy,27,Excellent,"Old Persian"
S0118,2025-10-25,C0051,P030,1,2259000,0,Online,Online,Nowshahr,"New Customer",2259000,8,History,71,Acceptable,Persian-Arabic
S0120,2025-10-26,C0024,P026,1,1338000,0,Card,Online,Nowshahr,"New Customer",1338000,6,History,38,Excellent,Persian-Arabic
