"user_id","product_id","quantity"
"10",70,2
"1005",78,1
"1006",6,1
"1006",89,1
"1016",51,1
"1018",2,1
"1021",8,1
"1021",43,1
"1022",7,1
"1022",73,1
"1023",81,1
"1024",90,1
"1040",78,1
"1046",70,1
"1050",5,1
"1050",37,1
"1051",41,1
"1052",12,1
"1056",12,1
"1058",22,2
"1067",85,1
"107",2,1
"107",45,1
"1072",11,1
"1072",71,1
"1073",89,1
"1075",7,1
"1075",59,2
"1077",60,1
"1079",48,1
"1080",9,1
"1083",8,1
"1083",57,1
"1083",64,2
"1085",30,1
"1088",2,1
"1090",45,1
"1097",58,1
"110",3,1
"110",51,1
"1107",7,1
"1107",44,1
"1107",79,1
"1115",63,1
"112",9,1
"112",93,1
"1120",12,1
"1123",37,1
"1124",5,1
"1126",68,1
"1128",8,1
"1136",65,1
"1141",8,1
"1144",12,1
"1144",47,3
"1148",9,1
"1148",44,1
"1153",2,1
"1153",32,1
"1155",3,1
"1156",14,1
"1158",10,1
"1161",23,2
"1171",8,1
"1172",7,1
"1178",1,1
"1180",7,1
"1180",92,1
"1184",2,1
"1184",44,2
"1185",9,4
"1187",12,2
"1187",48,1
"1189",7,1
"1189",31,2
"1190",89,1
"1192",5,1
"1194",93,1
"1195",56,1
"1198",8,1
"12",26,1
"12",89,1
"1200",8,2
"1204",61,1
"1204",77,1
"1205",7,1
"1205",8,1
"1215",30,1
"1220",3,1
"1220",91,2
"1222",12,1
"1224",83,1
"123",5,2
"123",24,1
"1236",1,1
"1238",53,1
"1239",45,1
"1243",41,1
"1250",89,1
"1251",12,1
"1253",58,1
"1255",7,1
"1256",36,1
"1257",34,2
"1266",22,1
"1280",2,1
"1280",58,1
"1282",3,1
"1284",9,2
"1284",14,1
"1284",45,1
"1285",5,1
"1285",52,1
"1289",28,2
"129",12,1
"1292",3,1
"1305",75,1
"131",83,1
"1313",5,1
"1313",20,1
"1314",64,1
"1321",40,1
"1321",43,1
"1323",41,1
"1324",7,2
"1324",40,1
"1325",15,1
"1325",65,1
"1325",73,2
"1339",14,1
"1343",50,1
"1345",41,1
"135",5,2
"1359",8,1
"1360",8,1
"1364",5,2
"1364",51,1
"1365",83,1
"1368",12,2
"1368",45,1
"1370",12,1
"1370",59,3
"1372",56,1
"1372",82,1
"1380",9,1
"1380",54,1
"1381",8,1
"1381",195,2
"1383",2,2
"1383",11,1
"1384",2,1
"1384",9,1
"139",3,1
"1390",50,1
"1396",87,1
"1399",26,1
"1408",5,1
"1410",3,1
"1413",8,1
"1416",9,1
"142",36,1
"1424",81,1
"1424",87,1
"1429",24,1
"1435",29,1
"1435",31,1
"1447",68,1
"1447",80,1
"1448",61,1
"1451",8,2
"1460",70,1
"1464",12,1
"1464",56,1
"1469",2,1
"1471",2,1
"1476",47,1
"1480",92,1
"1484",37,1
"1487",9,1
"1487",28,1
"1490",8,1
"1490",50,1
"1490",58,1
"1497",12,1
"1497",42,1
"1499",41,1
"1499",82,1
"1500",7,2
"151",8,1
"151",51,3
"153",12,1
"155",51,1
"159",34,2
"16",2,2
"16",9,1
"161",84,1
"166",9,1
"167",4,1
"167",36,1
"168",12,1
"169",12,1
"171",7,1
"171",84,1
"173",74,1
"174",46,1
"179",5,1
"181",66,1
"184",3,1
"186",6,1
"186",9,1
"189",12,1
"189",20,1
"190",22,1
"191",6,1
"191",91,1
"192",45,2
"196",82,1
"197",73,1
"204",4,1
"205",70,1
"217",65,1
"223",9,2
"226",3,2
"226",8,1
"229",22,1
"244",7,1
"244",47,1
"244",82,1
"245",41,1
"25",9,1
"25",86,1
"250",9,1
"251",3,1
"252",10,1
"252",79,1
"253",42,1
"253",67,1
"254",9,1
"257",7,1
"257",76,1
"258",35,1
"261",12,1
"263",2,1
"271",12,2
"271",64,1
"280",12,1
"280",67,1
"299",24,1
"30",29,1
"301",42,1
"301",65,1
"303",12,3
"303",40,1
"303",195,4
"308",67,1
"311",8,2
"314",3,1
"319",45,1
"322",84,1
"326",4,1
"326",71,1
"329",45,1
"329",93,1
"344",55,1
"347",5,1
"354",8,1
"363",5,1
"363",43,3
"363",61,1
"366",43,1
"366",71,1
"368",2,1
"37",7,1
"37",82,1
"376",9,1
"384",54,1
"384",83,1
"387",9,1
"395",49,1
"397",76,1
"397",92,1
"399",49,1
"399",93,1
"403",3,1
"403",12,2
"406",79,1
"411",38,1
"411",44,1
"413",14,1
"413",23,1
"415",43,1
"418",7,1
"419",7,1
"42",7,1
"42",42,1
"422",12,1
"433",14,1
"44",5,1
"44",42,1
"440",2,1
"440",54,1
"440",55,1
"450",30,2
"451",3,1
"455",47,1
"458",7,1
"458",63,1
"46",8,1
"461",2,1
"471",4,1
"471",84,1
"474",56,1
"48",3,1
"480",11,2
"496",9,1
"498",77,1
"499",78,1
"500",71,1
"508",37,1
"51",12,1
"511",2,1
"513",5,1
"518",12,1
"522",27,1
"523",53,1
"529",40,2
"531",83,1
"533",3,2
"533",9,1
"533",64,1
"537",2,1
"54",28,1
"542",60,1
"544",1,1
"545",64,1
"547",45,1
"548",12,1
"550",8,1
"550",62,1
"551",65,1
"551",76,1
"552",9,1
"554",92,1
"567",5,1
"567",48,1
"572",4,1
"580",58,1
"582",61,1
"593",1,1
"594",30,1
"595",12,1
"596",2,1
"596",57,1
"598",55,1
"60",28,1
"603",3,1
"607",46,1
"617",2,1
"617",3,1
"618",10,1
"618",80,1
"620",8,1
"632",63,3
"634",93,1
"645",4,3
"645",5,1
"646",5,1
"646",76,2
"652",8,1
"652",16,1
"676",1,1
"676",37,1
"682",7,1
"685",46,4
"689",15,1
"689",46,1
"69",69,2
"693",8,1
"695",16,2
"695",49,2
"703",5,1
"703",28,1
"705",7,1
"707",3,4
"707",5,1
"708",14,1
"708",44,1
"709",45,1
"71",15,1
"71",28,1
"715",56,1
"722",3,1
"729",10,3
"730",45,1
"731",12,1
"731",85,1
"734",8,1
"734",39,1
"741",3,1
"741",82,1
"742",60,1
"751",28,1
"755",50,1
"759",80,1
"765",3,1
"768",3,1
"768",11,1
"770",1,1
"780",83,1
"793",12,1
"795",71,1
"797",34,1
"802",42,1
"81",7,1
"81",64,1
"822",3,1
"827",5,1
"83",18,1
"833",5,1
"834",12,1
"836",2,1
"847",73,1
"848",12,2
"863",6,2
"864",30,1
"866",25,1
"87",20,1
"870",79,2
"881",9,1
"882",8,2
"890",9,1
"901",90,1
"901",93,1
"906",15,1
"906",87,1
"907",45,1
"911",5,1
"911",9,1
"915",45,1
"915",87,1
"917",3,1
"920",38,1
"927",18,1
"927",40,1
"93",9,1
"933",24,1
"935",2,2
"935",40,1
"937",8,1
"939",5,1
"939",64,1
"946",50,1
"946",75,2
"949",36,1
"950",24,1
"956",12,2
"957",4,1
"957",38,1
"96",41,1
"963",9,1
"968",2,1
"969",84,2
"971",12,1
"972",76,1
"975",8,2
"976",7,4
"979",84,2
"993",42,1
"993",80,2
"995",3,1
"997",17,1
"997",24,1
